TimeStamp,Value
08/17/2023 01:00:00,38
08/18/2023 01:00:00,38.5
08/21/2023 01:00:00,38.2
08/22/2023 01:00:00,38
08/23/2023 01:00:00,37.5
08/24/2023 01:00:00,36.75
08/25/2023 01:00:00,37.05
08/29/2023 01:00:00,37.85
08/30/2023 01:00:00,38.05
08/31/2023 01:00:00,38
09/01/2023 01:00:00,38.65
09/01/2023 01:00:00,39
09/04/2023 01:00:00,38.35
09/05/2023 01:00:00,39.05
09/05/2023 01:00:00,38.75
09/06/2023 01:00:00,38.55
09/07/2023 01:00:00,38.8
09/08/2023 01:00:00,39.5
09/11/2023 01:00:00,39.95
09/11/2023 01:00:00,39.8
09/12/2023 01:00:00,39.4
09/12/2023 01:00:00,39.5
09/13/2023 01:00:00,40.05
09/14/2023 01:00:00,39.55
09/14/2023 01:00:00,39.5
09/15/2023 01:00:00,39.525
09/18/2023 01:00:00,38.9
09/19/2023 01:00:00,38.95
09/19/2023 01:00:00,38.9
09/20/2023 01:00:00,38.5
09/20/2023 01:00:00,38.4
09/21/2023 01:00:00,37.8
09/21/2023 01:00:00,38.4
09/22/2023 01:00:00,38.15
09/25/2023 01:00:00,38.5
09/26/2023 01:00:00,37.575
09/26/2023 01:00:00,37.7
09/27/2023 01:00:00,37.4
09/27/2023 01:00:00,37.4
09/28/2023 01:00:00,37.35
09/29/2023 01:00:00,37.35
10/02/2023 01:00:00,36.75
10/02/2023 01:00:00,36.875
10/03/2023 01:00:00,35.5
10/03/2023 01:00:00,35.575
10/04/2023 01:00:00,35.8
10/04/2023 01:00:00,35.8
10/05/2023 01:00:00,35.7
10/05/2023 01:00:00,35.6
10/06/2023 01:00:00,36.05
10/06/2023 01:00:00,36.1
10/09/2023 01:00:00,37.5
10/09/2023 01:00:00,37.55
10/10/2023 01:00:00,38.3
10/10/2023 01:00:00,38.5
10/11/2023 01:00:00,38.1
10/11/2023 01:00:00,37.64
10/12/2023 01:00:00,38.45
10/12/2023 01:00:00,38.55
10/13/2023 01:00:00,38.5
10/13/2023 01:00:00,38.4
10/16/2023 01:00:00,37.15
10/16/2023 01:00:00,37.5
10/17/2023 01:00:00,37.1
10/17/2023 01:00:00,36.85
10/18/2023 01:00:00,37.65
10/18/2023 01:00:00,37.695
10/19/2023 01:00:00,37.525
10/19/2023 01:00:00,37.525
10/20/2023 01:00:00,37.5
10/20/2023 01:00:00,37.98
10/23/2023 01:00:00,38.3
10/23/2023 01:00:00,37.2
10/24/2023 01:00:00,37.65
10/25/2023 01:00:00,38
10/25/2023 01:00:00,37.765
10/26/2023 01:00:00,38.15
10/26/2023 01:00:00,38
10/27/2023 01:00:00,38.15
10/27/2023 01:00:00,38
10/30/2023 00:00:00,37.875
10/31/2023 00:00:00,37.2
10/31/2023 00:00:00,36.7
11/01/2023 00:00:00,37
11/01/2023 00:00:00,36.65
11/02/2023 00:00:00,36.7
11/02/2023 00:00:00,37.1
11/03/2023 00:00:00,37.495
11/03/2023 00:00:00,37.45
11/06/2023 00:00:00,36.3
11/06/2023 00:00:00,36.8
11/07/2023 00:00:00,36.8
11/07/2023 00:00:00,36.75
11/08/2023 00:00:00,36.8
11/08/2023 00:00:00,36.8
11/09/2023 00:00:00,37.5
11/10/2023 00:00:00,36.65
11/10/2023 00:00:00,36.875
11/13/2023 00:00:00,36.8
11/13/2023 00:00:00,36.65
11/14/2023 00:00:00,36.9
11/15/2023 00:00:00,36.9
11/16/2023 00:00:00,36.8
11/16/2023 00:00:00,36.81
11/17/2023 00:00:00,36.85
11/17/2023 00:00:00,36.975
11/20/2023 00:00:00,36.85
11/21/2023 00:00:00,36.5
11/21/2023 00:00:00,36.7
11/22/2023 00:00:00,36.65
11/22/2023 00:00:00,36.7
11/23/2023 00:00:00,37
11/24/2023 00:00:00,37.05
11/24/2023 00:00:00,37
11/27/2023 00:00:00,36.65
11/27/2023 00:00:00,36.445
11/28/2023 00:00:00,36.25
11/28/2023 00:00:00,35.95
11/29/2023 00:00:00,34.7
11/29/2023 00:00:00,35.02
